City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,vega de alatorre,20.0333,-96.6333,29.21,48,33,10.72,MX,1712772262
209,touros,-5.1989,-35.4608,29.82,67,97,2.48,BR,1712772262
210,alice springs,-23.7,133.8833,12.34,48,3,1.34,AU,1712772077
211,nar'yan-mar,67.6713,53.087,-13.83,96,39,2.68,RU,1712772262
212,luderitz,-26.6481,15.1594,19.47,66,0,8.2,NA,1712772262
213,progreso,21.2833,-89.6667,38.39,42,49,3.35,MX,1712772077
214,el granada,37.5027,-122.4694,24.38,73,75,2.06,US,1712772184
215,starkville,33.4504,-88.8184,18.69,100,100,6.17,US,1712772262
216,fort st. john,56.2499,-120.8529,4.94,45,40,4.12,CA,1712772028
217,oranjemund,-28.55,16.4333,16.37,79,0,8.52,NA,1712772263
218,palmer,42.1584,-72.3287,19.65,39,100,4.12,US,1712772263
219,stanley,54.868,-1.6985,12.1,88,40,8.23,GB,1712772263
220,constantia,44.1833,28.65,13.38,70,0,3.22,RO,1712772060
221,santa cruz,-17.8,-63.1667,31.03,66,40,7.2,BO,1712772137
222,fort mcmurray,56.7268,-111.381,4.77,75,100,8.75,CA,1712772009
223,terenozek,45.05,64.9833,16.77,40,14,1.6,KZ,1712772264
224,zav'yalovo,56.7847,53.3776,6.89,84,100,3.58,RU,1712772264
225,uliastay,47.7417,96.8444,3.01,58,97,1.27,MN,1712772264
226,strugi-krasnyye,58.2675,29.1114,12.22,61,100,4.31,RU,1712772264
227,geraldton,-28.7667,114.6,24.23,31,40,8.23,AU,1712772264
228,klyuchi,52.2667,79.1667,3.51,85,93,1.42,RU,1712772265
229,nova sintra,14.8667,-24.7167,22.7,77,4,8.37,CV,1712772265
230,canmore,51.0834,-115.3521,4.06,44,10,3.09,CA,1712772107
231,nagqu,31.5,92.0,-5.73,47,73,1.13,CN,1712772265
232,ketchikan,55.3422,-131.6461,5.99,87,100,4.63,US,1712772265
233,aasiaat,68.7098,-52.8699,-7.46,74,95,2.97,GL,1712772266
234,whitehorse,60.7161,-135.0538,0.61,64,100,4.12,CA,1712772104
235,camp verde,34.5636,-111.8543,23.82,19,2,1.51,US,1712772266
236,kruisfontein,-34.0033,24.7314,14.38,77,99,4.36,ZA,1712772266
237,bay village,41.4848,-81.9221,17.88,63,100,0.89,US,1712772010
238,naliya,23.2667,68.8333,26.48,65,74,4.72,IN,1712772266
239,fonte boa,-2.4959,-66.2662,25.79,95,79,1.3,BR,1712772266
240,prineville,44.2999,-120.8345,13.71,54,0,1.54,US,1712772005
241,barcelos,41.5388,-8.6151,22.18,72,97,2.37,PT,1712772035
242,san patricio,28.017,-97.5169,24.36,39,0,12.64,US,1712772266
243,altai,46.3722,96.2583,0.61,56,74,4.65,MN,1712771746
244,vernon,50.2581,-119.2691,9.05,60,74,2.06,CA,1712772001
245,luanda,-8.8368,13.2343,29.0,81,20,5.66,AO,1712772067
246,kermanshah,34.3142,47.065,7.5,93,75,8.23,IR,1712772267
247,saudarkrokur,65.7461,-19.6394,0.63,84,62,1.06,IS,1712772111
248,broken hill,-31.95,141.4333,11.06,65,0,3.98,AU,1712772115
249,levuka,50.1834,-105.4011,9.9,40,75,14.92,CA,1712772267
250,bayanga,7.5214,124.2522,21.02,93,84,1.65,PH,1712772267
251,nantong,32.0303,120.8747,12.8,86,100,3.61,CN,1712772267
252,kilju,40.9642,129.3278,9.03,66,100,0.55,KP,1712772268
253,revda,56.801,59.9303,1.59,82,100,1.9,RU,1712772268
254,happy valley-goose bay,53.3168,-60.3315,2.17,51,20,2.57,CA,1712772007
255,kota belud,6.351,116.4305,25.4,75,99,1.89,MY,1712772268
256,lundazi,-12.2929,33.1782,20.28,91,69,2.33,ZM,1712772078
257,hasaki,35.7333,140.8333,6.27,59,60,2.26,JP,1712772129
258,santiago de cao,-7.9589,-79.2392,23.07,78,87,4.63,PE,1712772268
259,chak one hundred twenty nine left,30.4333,73.05,26.25,16,67,1.93,PK,1712772268
260,fortaleza,-3.7227,-38.5247,29.07,74,20,4.12,BR,1712771948
261,hakui,36.8833,136.7833,8.23,81,95,2.71,JP,1712772268
262,jambi city,-1.6,103.6167,23.61,98,100,3.02,ID,1712772090
263,thompson,55.7435,-97.8558,10.09,50,75,4.12,CA,1712772228
264,laguna,38.421,-121.4238,22.88,53,0,3.6,US,1712772269
265,ancud,-41.8697,-73.8203,14.23,52,0,2.89,CL,1712772269
266,kothi,24.75,80.7833,28.18,27,86,3.81,IN,1712772269
267,port lincoln,-34.7333,135.8667,15.4,78,63,4.28,AU,1712772269
268,fisterra,42.9049,-9.2629,18.75,69,99,6.94,ES,1712772269
269,nkove,-7.95,30.85,24.13,80,94,1.28,TZ,1712772269
270,bojnurd,37.4747,57.329,17.97,59,0,3.09,IR,1712772269
271,kovdor,67.5662,30.4758,2.66,100,100,4.35,RU,1712772269
272,wanning,18.8003,110.3967,24.66,95,70,1.59,CN,1712772269
273,coruripe,-10.1256,-36.1756,29.69,66,100,4.18,BR,1712772041
274,slave lake,55.2834,-114.769,3.99,60,0,2.57,CA,1712772270
275,crane,31.3974,-102.3501,17.93,30,7,9.3,US,1712772270
276,erenhot,43.6475,111.9767,11.04,37,56,4.28,CN,1712772270
277,kidal,18.4411,1.4078,37.09,8,75,4.16,ML,1712772010
278,kerikeri,-35.2268,173.9474,21.06,90,100,7.1,NZ,1712772270
279,luba,3.4568,8.5547,26.94,83,90,4.01,GQ,1712772270
280,arkhangel'sk,64.5401,40.5433,7.06,70,40,6.0,RU,1712772179
281,wotho,10.1657,166.0102,27.25,83,97,8.96,MH,1712772270
282,nay pyi taw,19.745,96.1297,29.18,49,63,2.89,MM,1712772031
